code,name
07.10 ,Добування залізних руд 
07.2 ,Добування руд кольорових металів 
07.21 ,Добування уранових і торієвих руд 
07.29 ,Добування руд інших кольорових металів 
08 ,Добування інших корисних копалин і розроблення кар'єрів 
08.1 ,"Добування каменю, піску та глини "
08.11 ,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю "
08.12 ,"Добування піску, гравію, глин і каоліну "
08.9 ,"Добування корисних копалин і розроблення кар'єрів, н. в. і. у. "
08.91 ,Добування мінеральної сировини для хімічної промисловості та виробництва мінеральних добрив 
08.92 ,Добування торфу 
08.93 ,Добування солі 
08.99 ,"Добування інших корисних копалин і розроблення кар'єрів, н. в. і. у. "
09 ,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів 
09.1 ,Надання допоміжних послуг у сфері добування нафти та природного газу 
09.10 ,Надання допоміжних послуг у сфері добування нафти та природного газу 
09.9 ,Надання допоміжних послуг у сфері добування інших корисних копалин і розроблення кар'єрів 
09.90 ,Надання допоміжних послуг у сфері добування інших корисних копалин і розроблення кар'єрів 
C ,ПЕРЕРОБНА ПРОМИСЛОВІСТЬ 
10 ,Виробництво харчових продуктів 
10.1 ,Виробництво м'яса та м'ясних продуктів 
10.11 ,Виробництво м'яса 
10.12 ,Виробництво м'яса свійської птиці 
10.13 ,Виробництво м'ясних продуктів 
10.2 ,"Перероблення та консервування риби, ракоподібних і молюсків "
10.20 ,"Перероблення та консервування риби, ракоподібних і молюсків "
10.3 ,Перероблення та консервування фруктів і овочів 
10.31 ,Перероблення та консервування картоплі 
10.32 ,Виробництво фруктових і овочевих соків 
10.39 ,Інші види перероблення та консервування фруктів і овочів 
10.4 ,Виробництво олії та тваринних жирів 
10.41 ,Виробництво олії та тваринних жирів 
10.42 ,Виробництво маргарину і подібних харчових жирів 
10.5 ,Виробництво молочних продуктів 
10.51 ,"Перероблення молока, виробництво масла та сиру "
10.52 ,Виробництво морозива 
10.6 ,"Виробництво продуктів борошномельно-круп'яної промисловості, крохмалів і крохмальних продуктів "
10.61 ,Виробництво продуктів борошномельно-круп'яної промисловості 
10.62 ,Виробництво крохмалів і крохмальних продуктів 
10.7 ,"Виробництво хліба, хлібобулочних і борошняних виробів "
10.71 ,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання "
10.72 ,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання "
10.73 ,Виробництво макаронних виробів і подібних борошняних виробів 
10.8 ,Виробництво інших харчових продуктів 
10.81 ,Виробництво цукру 
10.82 ,"Виробництво какао, шоколаду та цукрових кондитерських виробів "
10.83 ,Виробництво чаю та кави 
10.84 ,Виробництво прянощів і приправ 
10.85 ,Виробництво готової їжі та страв 
10.86 ,Виробництво дитячого харчування та дієтичних харчових продуктів 
10.89 ,"Виробництво інших харчових продуктів, н. в. і. у."
10.9 ,Виробництво готових кормів для тварин 
10.91 ,"Виробництво готових кормів для тварин, що утримуються на фермах "
10.92 ,Виробництво готових кормів для домашніх тварин 
11 ,Виробництво напоїв 
11.0 ,Виробництво напоїв 
11.01 ,"Дистиляція, ректифікація та змішування алкогольних напоїв "
11.02 ,Виробництво виноградних вин 
11.03 ,Виробництво сидру та інших плодово-ягідних вин 
11.04 ,Виробництво інших недистильованих напоїв із зброджуваних продуктів 
11.05 ,Виробництво пива 
11.06 ,Виробництво солоду 
11.07 ,"Виробництво безалкогольних напоїв; виробництво мінеральних вод та інших вод, розлитих у пляшки "
12 ,Виробництво тютюнових виробів 
12.0 ,Виробництво тютюнових виробів 
12.00 ,Виробництво тютюнових виробів 
13 ,Текстильне виробництво 
13.1 ,Підготування та прядіння текстильних волокон 
13.10 ,Підготування та прядіння текстильних волокон 
13.2 ,Ткацьке виробництво 
13.20 ,Ткацьке виробництво 
13.3 ,Оздоблення текстильних виробів 
13.30 ,Оздоблення текстильних виробів 
13.9 ,Виробництво інших текстильних виробів 
13.91 ,Виробництво трикотажного полотна 
13.92 ,"Виробництво готових текстильних виробів, крім одягу "
13.93 ,Виробництво килимів і килимових виробів 
13.94 ,"Виробництво канатів, мотузок, шпагату та сіток "
13.95 ,"Виробництво нетканих текстильних матеріалів і виробів із них, крім одягу "
13.96 ,Виробництво інших текстильних виробів технічного та промислового призначення 
13.99 ,"Виробництво інших текстильних виробів, н. в. і. у. "
14 ,Виробництво одягу 
14.1 ,"Виробництво одягу, крім хутряного "
14.11 ,Виробництво одягу зі шкіри 
14.12 ,Виробництво робочого одягу 
14.13 ,Виробництво іншого верхнього одягу 
14.14 ,Виробництво спіднього одягу 
14.19 ,Виробництво іншого одягу й аксесуарів 
14.2 ,Виготовлення виробів із хутра 
14.20 ,Виготовлення виробів із хутра 
14.3 ,Виробництво трикотажного та в'язаного одягу 
14.31 ,Виробництво панчішно-шкарпеткових виробів 
14.39 ,Виробництво іншого трикотажного та в'язаного одягу 
15 ,"Виробництво шкіри, виробів зі шкіри та інших матеріалів "
15.1 ,"Дублення шкур і оздоблення шкіри; виробництво дорожніх виробів, сумок, лимарно-сідельних виробів; вичинка та фарбування хутра "
15.11 ,Дублення шкур і оздоблення шкіри; вичинка та фарбування хутра 
15.12 ,"Виробництво дорожніх виробів, сумок, лимарно-сідельних виробів зі шкіри та інших матеріалів "
15.2 ,Виробництво взуття 
15.20 ,Виробництво взуття 
16 ,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння "
16.1 ,Лісопильне та стругальне виробництво 
16.10 ,Лісопильне та стругальне виробництво 
16.2 ,"Виготовлення виробів з деревини, корка, соломки та рослинних матеріалів для плетіння "
16.21 ,"Виробництво фанери, дерев'яних плит і панелей, шпону "
16.22 ,Виробництво щитового паркету 
16.23 ,Виробництво інших дерев'яних будівельних конструкцій і столярних виробів 
16.24 ,Виробництво дерев'яної тари 
16.29 ,"Виробництво інших виробів з деревини; виготовлення виробів з корка, соломки та рослинних матеріалів для плетіння "
17 ,Виробництво паперу та паперових виробів 
17.1 ,"Виробництво паперової маси, паперу та картону "
17.11 ,Виробництво паперової маси 
17.12 ,Виробництво паперу та картону 
17.2 ,Виготовлення виробів з паперу та картону 
17.21 ,"Виробництво гофрованого паперу та картону, паперової та картонної тари "
17.22 ,Виробництво паперових виробів господарсько-побутового та санітарно-гігієнічного призначення 
17.23 ,Виробництво паперових канцелярських виробів 
17.24 ,Виробництво шпалер 
17.29 ,Виробництво інших виробів з паперу та картону 
18 ,"Поліграфічна діяльність, тиражування записаної інформації "
18.1 ,Поліграфічна діяльність і надання пов'язаних із нею послуг 
18.11 ,Друкування газет 
18.12 ,Друкування іншої продукції 
18.13 ,Виготовлення друкарських форм і надання інших поліграфічних послуг 
18.14 ,Брошурувально-палітурна діяльність і надання пов'язаних із нею послуг 
18.2 ,"Тиражування звуко-, відеозаписів і програмного забезпечення "
18.20 ,"Тиражування звуко-, відеозаписів і програмного забезпечення "
19 ,Виробництво коксу та продуктів нафтоперероблення 
19.1 ,Виробництво коксу та коксопродуктів 
19.10 ,Виробництво коксу та коксопродуктів 
19.2 ,Виробництво продуктів нафтоперероблення 
19.20 ,Виробництво продуктів нафтоперероблення 
20 ,Виробництво хімічних речовин і хімічної продукції 
20.1 ,"Виробництво основної хімічної продукції, добрив і азотних сполук, пластмас і синтетичного каучуку в первинних формах "
20.11 ,Виробництво промислових газів 
20.12 ,Виробництво барвників і пігментів 
20.13 ,Виробництво інших основних неорганічних хімічних речовин 
20.14 ,Виробництво інших основних органічних хімічних речовин 
20.15 ,Виробництво добрив і азотних сполук 
20.16 ,Виробництво пластмас у первинних формах 
20.17 ,Виробництво синтетичного каучуку в первинних формах 
20.2 ,Виробництво пестицидів та іншої агрохімічної продукції 
20.20 ,Виробництво пестицидів та іншої агрохімічної продукції 
20.3 ,"Виробництво фарб, лаків і подібної продукції, друкарської фарби та мастик "
20.30 ,"Виробництво фарб, лаків і подібної продукції, друкарської фарби та мастик "
20.4 ,"Виробництво мила та мийних засобів, засобів для чищення та полірування, парфумних і косметичних засобів "
20.41 ,"Виробництво мила та мийних засобів, засобів для чищення та полірування "
20.42 ,Виробництво парфумних і косметичних засобів 
20.5 ,Виробництво іншої хімічної продукції 
20.51 ,Виробництво вибухових речовин 
20.52 ,Виробництво клеїв 
20.53 ,Виробництво ефірних олій 
20.59 ,"Виробництво іншої хімічної продукції, н. в. і. у. "
20.6 ,Виробництво штучних і синтетичних волокон 
20.60 ,Виробництво штучних і синтетичних волокон 
21 ,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів 
21.1 ,Виробництво основних фармацевтичних продуктів 
21.10 ,Виробництво основних фармацевтичних продуктів 
21.2 ,Виробництво фармацевтичних препаратів і матеріалів 
21.20 ,Виробництво фармацевтичних препаратів і матеріалів 
22 ,Виробництво гумових і пластмасових виробів 
22.1 ,Виробництво гумових виробів 
22.11 ,"Виробництво гумових шин, покришок і камер; відновлення протектора гумових шин і покришок "
22.19 ,Виробництво інших гумових виробів 
22.2 ,Виробництво пластмасових виробів 
22.21 ,"Виробництво плит, листів, труб і профілів із пластмас "
22.22 ,Виробництво тари з пластмас 
22.23 ,Виробництво будівельних виробів із пластмас 
22.29 ,Виробництво інших виробів із пластмас 
23 ,Виробництво іншої неметалевої мінеральної продукції 
23.1 ,Виробництво скла та виробів зі скла 
23.11 ,Виробництво листового скла 
23.12 ,Формування й оброблення листового скла 
23.13 ,Виробництво порожнистого скла 
23.14 ,Виробництво скловолокна 
23.19 ,"Виробництво й оброблення інших скляних виробів, у тому числі технічних "
23.2 ,Виробництво вогнетривких виробів 
23.20 ,Виробництво вогнетривких виробів 
23.3 ,Виробництво будівельних матеріалів із глини 
23.31 ,Виробництво керамічних плиток і плит 
23.32 ,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини "
23.4 ,Виробництво іншої продукції з фарфору та кераміки 
23.41 ,Виробництво господарських і декоративних керамічних виробів 
23.42 ,Виробництво керамічних санітарно-технічних виробів 
23.43 ,Виробництво керамічних електроізоляторів та ізоляційної арматури 
23.44 ,Виробництво інших керамічних виробів технічного призначення 
23.49 ,Виробництво інших керамічних виробів 
23.5 ,"Виробництво цементу, вапна та гіпсових сумішей "
23.51 ,Виробництво цементу 
23.52 ,Виробництво вапна та гіпсових сумішей 
23.6 ,"Виготовлення виробів із бетону, гіпсу та цементу "
23.61 ,Виготовлення виробів із бетону для будівництва 
23.62 ,Виготовлення виробів із гіпсу для будівництва 
23.63 ,"Виробництво бетонних розчинів, готових для використання "
23.64 ,Виробництво сухих будівельних сумішей 
23.65 ,Виготовлення виробів із волокнистого цементу 
23.69 ,Виробництво інших виробів із бетону гіпсу та цементу 
23.7 ,"Різання, оброблення та оздоблення декоративного та будівельного каменю "
23.70 ,"Різання, оброблення та оздоблення декоративного та будівельного каменю "
23.9 ,"Виробництво абразивних виробів і неметалевих мінеральних виробів, н. в. і. у. "
23.91 ,Виробництво абразивних виробів 
23.99 ,"Виробництво неметалевих мінеральних виробів, н. в. і. у. "
24 ,Металургійне виробництво 
24.1 ,"Виробництво чавуну, сталі та феросплавів "
24.10 ,Виробництво чавуну сталі та феросплавів 
24.2 ,"Виробництво труб, порожнистих профілів і фітингів зі сталі "
24.20 ,"Виробництво труб, порожнистих профілів і фітингів зі сталі "
24.3 ,Виробництво іншої продукції первинного оброблення сталі 
24.31 ,Холодне волочіння прутків і профілів 
24.32 ,Холодний прокат вузької штаби 
24.33 ,Холодне штампування та гнуття 
24.34 ,Холодне волочіння дроту 
24.4 ,Виробництво дорогоцінних та інших кольорових металів 
24.41 ,Виробництво дорогоцінних металів 
24.42 ,Виробництво алюмінію 
24.43 ,"Виробництво свинцю, цинку й олова "
24.44 ,Виробництво міді 
24.45 ,Виробництво інших кольорових металів 
24.46 ,Виробництво ядерних матеріалів 
24.5 ,Лиття металів 
24.51 ,Лиття чавуну 
24.52 ,Лиття сталі 
24.53 ,Лиття легких кольорових металів 
24.54 ,Лиття інших кольорових металів 
25 ,"Виробництво готових металевих виробів, крім машин і устатковання "
25.1 ,Виробництво будівельних металевих конструкцій і виробів 
25.11 ,Виробництво будівельних металевих конструкцій і частин конструкцій 
25.12 ,Виробництво металевих дверей і вікон 
25.2 ,"Виробництво металевих баків, резервуарів і контейнерів "
25.21 ,Виробництво радіаторів і котлів центрального опалення 
25.29 ,"Виробництво інших металевих баків, резервуарів і контейнерів "
25.3 ,"Виробництво парових котлів, крім котлів центрального опалення "
25.30 ,"Виробництво парових котлів, крім котлів центрального опалення "
25.4 ,Виробництво зброї та боєприпасів 
25.40 ,Виробництво зброї та боєприпасів 
25.5 ,"Кування, пресування, штампування, профілювання; порошкова металургія "
25.50 ,"Кування, пресування, штампування, профілювання; порошкова металургія "
25.6 ,Оброблення металів та нанесення покриття на метали; механічне оброблення металевих виробів 
25.61 ,Оброблення металів та нанесення покриття на метали 
25.62 ,Механічне оброблення металевих виробів 
25.7 ,"Виробництво столових приборів, інструментів і металевих виробів загального призначення "
25.71 ,Виробництво столових приборів 
25.72 ,Виробництво замків і дверних петель 
25.73 ,Виробництво інструментів 
25.9 ,Виробництво інших готових металевих виробів 
25.91 ,Виробництво сталевих бочок і подібних контейнерів 
25.92 ,Виробництво легких металевих паковань 
25.93 ,"Виробництво виробів із дроту, ланцюгів і пружин "
25.94 ,Виробництво кріпильних і ґвинтонарізних виробів 
25.99 ,"Виробництво інших готових металевих виробів, н. в. і. у. "
26 ,"Виробництво комп'ютерів, електронної та оптичної продукції "
26.1 ,Виробництво електронних компонентів і плат 
26.11 ,Виробництво електронних компонентів 
26.12 ,Виробництво змонтованих електронних плат 
26.2 ,Виробництво комп'ютерів і периферійного устатковання 
26.20 ,Виробництво комп'ютерів і периферійного устатковання 
26.3 ,Виробництво обладнання зв'язку 
26.30 ,Виробництво обладнання зв'язку 
26.4 ,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення "
26.40 ,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення "
26.5 ,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації; виробництво годинників "
26.51 ,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації "
26.52 ,Виробництво годинників 
26.6 ,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання "
26.60 ,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання "
26.7 ,Виробництво оптичних приладів і фотографічного устатковання 
26.70 ,Виробництво оптичних приладів і фотографічного устатковання 
26.8 ,Виробництво магнітних і оптичних носіїв даних 
26.80 ,Виробництво магнітних і оптичних носіїв даних 
27 ,Виробництво електричного устатковання 
27.1 ,"Виробництво електродвигунів, генераторів, трансформаторів, електророзподільчої та контрольної апаратури "
27.11 ,"Виробництво електродвигунів, генераторів і трансформаторів "
27.12 ,Виробництво електророзподільчої та контрольної апаратури 
27.2 ,Виробництво батарей і акумуляторів 
27.20 ,Виробництво батарей і акумуляторів 
27.3 ,"Виробництво проводів, кабелів і електромонтажних пристроїв "
27.31 ,Виробництво волоконно-оптичних кабелів 
27.32 ,Виробництво інших видів електронних і електричних проводів і кабелів 
27.33 ,Виробництво електромонтажних пристроїв 
27.4 ,Виробництво електричного освітлювального устатковання 
27.40 ,Виробництво електричного освітлювального устатковання 
27.5 ,Виробництво побутових приладів 
27.51 ,Виробництво електричних побутових приладів 
27.52 ,Виробництво неелектричних побутових приладів 
27.9 ,Виробництво іншого електричного устатковання 
27.90 ,Виробництво іншого електричного устатковання 
28 ,"Виробництво машин і устатковання, н. в. і. у. "
28.1 ,Виробництво машин і устатковання загального призначення 
28.11 ,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів "
28.12 ,Виробництво гідравлічного та пневматичного устатковання 
28.13 ,Виробництво інших помп і компресорів 
28.14 ,Виробництво інших кранів і клапанів 
28.15 ,"Виробництво підшипників, зубчастих передач, елементів механічних передач і приводів "
28.2 ,Виробництво інших машин і устатковання загального призначення 
28.21 ,Виробництво печей і пічних пальників 
28.22 ,Виробництво підіймального та вантажно-розвантажувального устатковання 
28.23 ,"Виробництво офісних машин і устатковання, крім комп'ютерів і периферійного устатковання "
28.24 ,Виробництво ручних електромеханічних і пневматичних інструментів 
28.25 ,Виробництво промислового холодильного та вентиляційного устатковання 
28.29 ,"Виробництво інших машин і устатковання загального призначення, н. в. і. у. "
28.3 ,Виробництво машин і устатковання для сільського та лісового господарства 
28.30 ,Виробництво машин і устатковання для сільського та лісового господарства 
28.4 ,Виробництво металообробних машин і верстатів 
28.41 ,Виробництво металообробних машин 
28.49 ,Виробництво інших верстатів 
28.9 ,Виробництво інших машин і устатковання спеціального призначення 
28.91 ,Виробництво машин і устатковання для металургії 
28.92 ,Виробництво машин і устатковання для добувної промисловості та будівництва 
28.93 ,"Виробництво машин і устатковання для виготовлення харчових продуктів і напоїв, перероблення тютюну "
28.94 ,"Виробництво машин і устатковання для виготовлення текстильних, швейних, хутряних і шкіряних виробів "
28.95 ,Виробництво машин і устатковання для виготовлення паперу та картону 
28.96 ,Виробництво машин і устатковання для виготовлення пластмас і гуми 
28.99 ,"Виробництво інших машин і устатковання спеціального призначення, н. в. і. у. "
29 ,"Виробництво автотранспортних засобів, причепів і напівпричепів "
29.1 ,Виробництво автотранспортних засобів 
29.10 ,Виробництво автотранспортних засобів 
29.2 ,"Виробництво кузовів для автотранспортних засобів, причепів і напівпричепів "
29.20 ,"Виробництво кузовів для автотранспортних засобів, причепів і напівпричепів "
29.3 ,"Виробництво вузлів, деталей і приладдя для автотранспортних засобів "
29.31 ,Виробництво електричного й електронного устатковання для автотранспортних засобів 
29.32 ,"Виробництво інших вузлів, деталей і приладдя для автотранспортних засобів "
30 ,Виробництво інших транспортних засобів 
30.1 ,Будування суден і човнів 
30.11 ,Будування суден і плавучих конструкцій 
30.12 ,Будування прогулянкових і спортивних човнів 
30.2 ,Виробництво залізничних локомотивів і рухомого складу 
30.20 ,Виробництво залізничних локомотивів і рухомого складу 
30.3 ,"Виробництво повітряних і космічних літальних апаратів, супутнього устатковання "
30.30 ,"Виробництво повітряних і космічних літальних апаратів, супутнього устатковання "
30.4 ,Виробництво військових транспортних засобів 
30.40 ,Виробництво військових транспортних засобів 
30.9 ,"Виробництво транспортних засобів, н. в. і. у. "
30.91 ,Виробництво мотоциклів 
30.92 ,"Виробництво велосипедів, дитячих та інвалідних колясок "
30.99 ,"Виробництво інших транспортних засобів і обладнання, н. в. і. у."
31 ,Виробництво меблів 
31.0 ,Виробництво меблів 
31.01 ,Виробництво меблів для офісів і підприємств торгівлі 
31.02 ,Виробництво кухонних меблів 
31.03 ,Виробництво матраців 
31.09 ,Виробництво інших меблів 
32 ,Виробництво іншої продукції 
32.1 ,"Виробництво ювелірних виробів, біжутерії та подібних виробів "
32.11 ,Карбування монет 
32.12 ,Виробництво ювелірних і подібних виробів 
32.13 ,Виробництво біжутерії та подібних виробів 
32.2 ,Виробництво музичних інструментів 
32.20 ,Виробництво музичних інструментів 
32.3 ,Виробництво спортивних товарів 
32.30 ,Виробництво спортивних товарів 
32.4 ,Виробництво ігор та іграшок 
32.40 ,Виробництво ігор та іграшок 
32.5 ,Виробництво медичних і стоматологічних інструментів і матеріалів 
32.50 ,Виробництво медичних і стоматологічних інструментів і матеріалів 
32.9 ,"Виробництво продукції, н. в. і. у. "
32.91 ,Виробництво мітел і щіток 
32.99 ,"Виробництво іншої продукції, н. в. і. у. "
33 ,Ремонт і монтаж машин і устатковання 
33.1 ,"Ремонт і технічне обслуговування готових металевих виробів, машин і устатковання "
33.11 ,Ремонт і технічне обслуговування готових металевих виробів 
33.12 ,Ремонт і технічне обслуговування машин і устатковання промислового призначення 
33.13 ,Ремонт і технічне обслуговування електронного й оптичного устатковання 
33.14 ,Ремонт і технічне обслуговування електричного устатковання 
33.15 ,Ремонт і технічне обслуговування суден і човнів 
33.16 ,Ремонт і технічне обслуговування повітряних і космічних літальних апаратів 
33.17 ,Ремонт і технічне обслуговування інших транспортних засобів 
33.19 ,Ремонт і технічне обслуговування інших машин і устатковання 
33.2 ,Установлення та монтаж машин і устатковання 
33.20 ,Установлення та монтаж машин і устатковання 
D ,"ПОСТАЧАННЯ ЕЛЕКТРОЕНЕРГІЇ, ГАЗУ, ПАРИ ТА КОНДИЦІЙОВАНОГО ПОВІТРЯ "
35 ,"Постачання електроенергії, газу, пари та кондиційованого повітря "
35.1 ,"Виробництво, передача та розподілення електроенергії "
35.11 ,Виробництво електроенергії 
35.12 ,Передача електроенергії 
35.13 ,Розподілення електроенергії 
35.14 ,Торгівля електроенергією 
35.2 ,Виробництво газу; розподілення газоподібного палива через місцеві (локальні) трубопроводи 
35.21 ,Виробництво газу 
35.22 ,Розподілення газоподібного палива через місцеві (локальні) трубопроводи 
35.23 ,Торгівля газом через місцеві (локальні) трубопроводи 
35.3 ,"Постачання пари, гарячої води та кондиційованого повітря "
35.30 ,"Постачання пари, гарячої води та кондиційованого повітря "
E ,"ВОДОПОСТАЧАННЯ; КАНАЛІЗАЦІЯ, ПОВОДЖЕННЯ З ВІДХОДАМИ "
36 ,"Забір, очищення та постачання води "
36.0 ,"Забір, очищення та постачання води "
36.00 ,"Забір, очищення та постачання води "
37 ,"Каналізація, відведення й очищення стічних вод "
37.0 ,"Каналізація, відведення й очищення стічних вод "
37.00 ,"Каналізація, відведення й очищення стічних вод "
38 ,"Збирання, оброблення й видалення відходів; відновлення матеріалів "
38.1 ,Збирання відходів 
38.11 ,Збирання безпечних відходів 
38.12 ,Збирання небезпечних відходів 
38.2 ,Оброблення та видалення відходів 
38.21 ,Оброблення та видалення безпечних відходів 
38.22 ,Оброблення та видалення небезпечних відходів 
38.3 ,Відновлення матеріалів 
38.31 ,Демонтаж (розбирання) машин і устатковання 
38.32 ,Відновлення відсортованих відходів 
39 ,Інша діяльність щодо поводження з відходами 
39.0 ,Інша діяльність щодо поводження з відходами 
39.00 ,Інша діяльність щодо поводження з відходами 
F ,БУДІВНИЦТВО 
41 ,Будівництво будівель 
41.1 ,Організація будівництва будівель 
41.10 ,Організація будівництва будівель 
41.2 ,Будівництво житлових і нежитлових будівель 
41.20 ,Будівництво житлових і нежитлових будівель 
42 ,Будівництво споруд 
42.1 ,Будівництво доріг і залізниць 
42.11 ,Будівництво доріг і автострад 
42.12 ,Будівництво залізниць і метрополітену 
42.13 ,Будівництво мостів і тунелів 
42.2 ,Будівництво комунікацій 
42.21 ,Будівництво трубопроводів 
42.22 ,Будівництво споруд електропостачання та телекомунікацій 
42.9 ,Будівництво інших споруд 
42.91 ,Будівництво водних споруд 
42.99 ,"Будівництво інших споруд, н. в. і. у. "
43 ,Спеціалізовані будівельні роботи 
43.1 ,Знесення та підготовчі роботи на будівельному майданчику 
43.11 ,Знесення 
43.12 ,Підготовчі роботи на будівельному майданчику 
43.13 ,Розвідувальне буріння 
43.2 ,"Електромонтажні, водопровідні та інші будівельно-монтажні роботи "
43.21 ,Електромонтажні роботи 
43.22 ,"Монтаж водопровідних мереж, систем опалення та кондиціонування "
43.29 ,Інші будівельно-монтажні роботи 
43.3 ,Роботи із завершення будівництва 
43.31 ,Штукатурні роботи 
43.32 ,Установлення столярних виробів 
43.33 ,Покриття підлоги й облицювання стін 
43.34 ,Малярні роботи та скління 
43.39 ,Інші роботи із завершення будівництва 
43.9 ,Інші спеціалізовані будівельні роботи 
43.91 ,Покрівельні роботи 
43.99 ,"Інші спеціалізовані будівельні роботи, н. в. і. у. "
G ,ОПТОВА ТА РОЗДРІБНА ТОРГІВЛЯ; РЕМОНТ АВТОТРАНСПОРТНИХ ЗАСОБІВ І МОТОЦИКЛІВ 
45 ,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт "
45.1 ,Торгівля автотранспортними засобами 
45.11 ,Торгівля автомобілями та легковими автотранспортними засобами 
45.19 ,Торгівля іншими автотранспортними засобами 
45.2 ,Технічне обслуговування та ремонт автотранспортних засобів 
45.20 ,Технічне обслуговування та ремонт автотранспортних засобів 
45.3 ,Торгівля деталями та приладдям для автотранспортних засобів 
45.31 ,Оптова торгівля деталями та приладдям для автотранспортних засобів 
45.32 ,Роздрібна торгівля деталями та приладдям для автотранспортних засобів 
45.4 ,"Торгівля мотоциклами, деталями та приладдям до них, технічне обслуговування і ремонт мотоциклів "
45.40 ,"Торгівля мотоциклами, деталями та приладдям до них, технічне обслуговування і ремонт мотоциклів "
46 ,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами "
